name,position,team,unique_str,week,owner,points,status,RostStatus
"Gibson, A.",RB,WAS,"Gibson, A. RB WAS",01,Sam,6.4,Active,Starting
"Gould, R.",K,SF,"Gould, R. K SF",01,Sam,10.0,Active,Starting
Saints DEF ,DEF,Saints,Saints DEF ,01,Sam,17.0,Active,Starting
"Ebron, E.",TE,PIT,"Ebron, E. TE PIT",01,Sam,2.8,Inactive,Bench
"Crowder, J.",WR,NYJ,"Crowder, J. WR NYJ",01,Sam,24.5,Inactive,Bench
"Golladay, K.",WR,DET,"Golladay, K. WR DET",01,Sam,0.0,Inactive,Bench
"Mattison, A.",RB,MIN,"Mattison, A. RB MIN",01,Sam,12.0,Inactive,Bench
"Robinson, J.",RB,JAX,"Robinson, J. RB JAX",01,Sam,10.0,Inactive,Bench
"Aiyuk, B.",WR,SF,"Aiyuk, B. WR SF",01,Sam,0.0,Inactive,Bench
"Harris, D.",RB,NE,"Harris, D. RB NE",01,Sam,0.00,Inactive,Reserve
"Samuel, D.",WR,SF,"Samuel, D. WR SF",01,Sam,0.00,Inactive,Reserve
"Prescott, D.",QB,DAL,"Prescott, D. QB DAL",01,f,17.64,Active,Starting
"Bell, L.",RB,KC,"Bell, L. RB KC",01,f,6.6,Active,Starting
"Barkley, S.",RB,NYG,"Barkley, S. RB NYG",01,f,12.6,Active,Starting
"Sanders, J.",K,MIA,"Sanders, J. K MIA",01,FA,,FA,FA
"Robinson, A.",WR,CHI,"Robinson, A. WR CHI",01,f,12.3,Active,Starting
"Williams, P.",WR,MIA,"Williams, P. WR MIA",01,f,6.1,Active,Starting
"Kelce, T.",TE,KC,"Kelce, T. TE KC",01,f,17.0,Active,Starting
"Scott, B.",RB,PHI,"Scott, B. RB PHI",01,f,7.4,Active,Starting
"Slye, J.",K,CAR,"Slye, J. K CAR",01,f,11.0,Active,Starting
Steelers DEF ,DEF,Steelers,Steelers DEF ,01,f,8.0,Active,Starting
"Newton, C.",QB,NE,"Newton, C. QB NE",01,f,25.7,Inactive,Bench
"Manhertz, C.",TE,CAR,"Manhertz, C. TE CAR",01,f,1.4,Inactive,Bench
"Lindsay, P.",RB,DEN,"Lindsay, P. RB DEN",01,f,4.5,Inactive,Bench
"Fant, N.",TE,DEN,"Fant, N. TE DEN",01,f,19.1,Inactive,Bench
"Harry, N.",WR,NE,"Harry, N. WR NE",01,f,6.9,Inactive,Bench
"Ruggs, H.",WR,LV,"Ruggs, H. WR LV",01,f,9.6,Inactive,Bench
"Higgins, T.",WR,CIN,"Higgins, T. WR CIN",01,FA,,FA,FA
"Claypool, C.",WR,PIT,"Claypool, C. WR PIT",01,FA,,FA,FA
"Cole, K.",WR,JAX,"Cole, K. WR JAX",01,FA,,FA,FA
"Boyd, T.",WR,CIN,"Boyd, T. WR CIN",01,f,7.3,Active,Starting
"Ahmed, S.",RB,MIA,"Ahmed, S. RB MIA",01,FA,,FA,FA
"Higgins, R.",WR,CLE,"Higgins, R. WR CLE",01,FA,,FA,FA
"Fulgham, T.",WR,PHI,"Fulgham, T. WR PHI",01,FA,,FA,FA
"Hyde, C.",RB,SEA,"Hyde, C. RB SEA",01,FA,,FA,FA
"Gano, G.",K,NYG,"Gano, G. K NYG",01,FA,,FA,FA
Football Team DEF ,DEF,TFootballeFootballaFootballm,Football Team DEF ,01,FA,,FA,FA
"Burkhead, R.",RB,NE,"Burkhead, R. RB NE",01,FA,,FA,FA
"Campbell, P.",WR,IND,"Campbell, P. WR IND",01,FA,,FA,FA
"Reed, J.",TE,SF,"Reed, J. TE SF",01,FA,,FA,FA
"Howard, O.",TE,TB,"Howard, O. TE TB",01,FA,,FA,FA
"Booker, D.",RB,LV,"Booker, D. RB LV",01,FA,,FA,FA
"Lambo, J.",K,JAX,"Lambo, J. K JAX",01,FA,,FA,FA
"Gostkowski, S.",K,TEN,"Gostkowski, S. K TEN",01,FA,,FA,FA
"Bullock, R.",K,CIN,"Bullock, R. K CIN",01,FA,,FA,FA
"Fitzpatrick, R.",QB,MIA,"Fitzpatrick, R. QB MIA",01,FA,,FA,FA
"Tannehill, R.",QB,TEN,"Tannehill, R. QB TEN",01,FA,,FA,FA
Cardinals DEF ,DEF,Cardinals,Cardinals DEF ,01,FA,,FA,FA
"Valdes-Scantling, M.",WR,GB,"Valdes-Scantling, M. WR GB",01,FA,,FA,FA
"Coutee, K.",WR,HOU,"Coutee, K. WR HOU",01,FA,,FA,FA
"Lewis, D.",RB,NYG,"Lewis, D. RB NYG",01,FA,,FA,FA
"Tagovailoa, T.",QB,MIA,"Tagovailoa, T. QB MIA",01,FA,,FA,FA
Chargers DEF ,DEF,Chargers,Chargers DEF ,01,FA,,FA,FA
"Penny, R.",RB,SEA,"Penny, R. RB SEA",01,FA,,FA,FA
"Thomas, L.",TE,WAS,"Thomas, L. TE WAS",01,FA,,FA,FA
"Harris, D.",WR,NO,"Harris, D. WR NO",01,FA,,FA,FA
"Carr, D.",QB,LV,"Carr, D. QB LV",01,FA,,FA,FA
"Jeffery, A.",WR,PHI,"Jeffery, A. WR PHI",01,FA,,FA,FA
"Mims, D.",WR,NYJ,"Mims, D. WR NYJ",01,FA,,FA,FA
"Brown, M.",RB,LA,"Brown, M. RB LA",01,FA,,FA,FA
"Gore, F.",RB,NYJ,"Gore, F. RB NYJ",01,FA,,FA,FA
Giants DEF ,DEF,Giants,Giants DEF ,01,FA,,FA,FA
"Edwards, G.",RB,BAL,"Edwards, G. RB BAL",01,FA,,FA,FA
"Akins, J.",TE,HOU,"Akins, J. TE HOU",01,FA,,FA,FA
"Snell, B.",RB,PIT,"Snell, B. RB PIT",01,FA,,FA,FA
"Engram, E.",TE,NYG,"Engram, E. TE NYG",01,Sam,2.9,Active,Starting
"Smith, T.",WR,NO,"Smith, T. WR NO",01,FA,,FA,FA
"Cobb, R.",WR,HOU,"Cobb, R. WR HOU",01,FA,,FA,FA
"Hill, T.",QB,NO,"Hill, T. QB NO",01,FA,,FA,FA
"Agholor, N.",WR,LV,"Agholor, N. WR LV",01,FA,,FA,FA
Dolphins DEF ,DEF,Dolphins,Dolphins DEF ,01,FA,,FA,FA
"Patrick, T.",WR,DEN,"Patrick, T. WR DEN",01,FA,,FA,FA
"Gage, R.",WR,ATL,"Gage, R. WR ATL",01,FA,,FA,FA
"Samuel, C.",WR,CAR,"Samuel, C. WR CAR",01,FA,,FA,FA
"Shenault, L.",WR,JAX,"Shenault, L. WR JAX",01,FA,,FA,FA
"Cousins, K.",QB,MIN,"Cousins, K. QB MIN",01,FA,,FA,FA
"Roethlisberger, B.",QB,PIT,"Roethlisberger, B. QB PIT",01,FA,,FA,FA
"Bass, T.",K,BUF,"Bass, T. K BUF",01,FA,,FA,FA
"Minshew, G.",QB,JAX,"Minshew, G. QB JAX",01,FA,,FA,FA
"Patterson, C.",WR,CHI,"Patterson, C. WR CHI",01,FA,,FA,FA
"Meyers, J.",WR,NE,"Meyers, J. WR NE",01,FA,,FA,FA
Broncos DEF ,DEF,Broncos,Broncos DEF ,01,FA,,FA,FA
Packers DEF ,DEF,Packers,Packers DEF ,01,FA,,FA,FA
"Williams, M.",WR,LAC,"Williams, M. WR LAC",01,FA,,FA,FA
"Grant, J.",WR,MIA,"Grant, J. WR MIA",01,FA,,FA,FA
Seahawks DEF ,DEF,Seahawks,Seahawks DEF ,01,FA,,FA,FA
"Bailey, D.",K,MIN,"Bailey, D. K MIN",01,FA,,FA,FA
"Freeman, D.",RB,NYG,"Freeman, D. RB NYG",01,FA,,FA,FA
"Dallas, D.",RB,SEA,"Dallas, D. RB SEA",01,FA,,FA,FA
"Ballage, K.",RB,LAC,"Ballage, K. RB LAC",01,FA,,FA,FA
Bears DEF ,DEF,Bears,Bears DEF ,01,FA,,FA,FA
"Schultz, D.",TE,DAL,"Schultz, D. TE DAL",01,FA,,FA,FA
"Ward, G.",WR,PHI,"Ward, G. WR PHI",01,FA,,FA,FA
"Crosby, M.",K,GB,"Crosby, M. K GB",01,FA,,FA,FA
"Alie-Cox, M.",TE,IND,"Alie-Cox, M. TE IND",01,FA,,FA,FA
"Succop, R.",K,TB,"Succop, R. K TB",01,FA,,FA,FA
"Hill, B.",RB,ATL,"Hill, B. RB ATL",01,FA,,FA,FA
"Jackson, J.",RB,LAC,"Jackson, J. RB LAC",01,FA,,FA,FA
"Kelley, J.",RB,LAC,"Kelley, J. RB LAC",01,FA,,FA,FA
"McLaurin, T.",WR,WAS,"McLaurin, T. WR WAS",01,Sam,11.1,Active,Starting
"Herbert, J.",QB,LAC,"Herbert, J. QB LAC",01,FA,,FA,FA
"Woods, R.",WR,LA,"Woods, R. WR LA",01,Sam,17.9,Active,Starting
"Sanders, E.",WR,NO,"Sanders, E. WR NO",01,Liam,10.5,Inactive,Bench
Bills DEF ,DEF,Bills,Bills DEF ,01,Liam,8.0,Active,Starting
"Koo, Y.",K,ATL,"Koo, Y. K ATL",01,Liam,8.0,Active,Starting
"Cohen, T.",RB,CHI,"Cohen, T. RB CHI",01,Liam,6.7,Active,Starting
Patriots DEF ,DEF,Patriots,Patriots DEF ,01,Jake,11.0,Active,Starting
"Ertz, Z.",TE,PHI,"Ertz, Z. TE PHI",01,Liam,10.8,Active,Starting
"Tate, G.",WR,NYG,"Tate, G. WR NYG",01,Liam,0.0,Inactive,Bench
"Sims, S.",WR,WAS,"Sims, S. WR WAS",01,Liam,9.7,Active,Starting
"Kupp, C.",WR,LA,"Kupp, C. WR LA",01,Liam,8.0,Active,Starting
"Adams, D.",WR,GB,"Adams, D. WR GB",01,Liam,41.6,Active,Starting
"Ekeler, A.",RB,LAC,"Ekeler, A. RB LAC",01,Liam,9.7,Active,Starting
"Gurley, T.",RB,ATL,"Gurley, T. RB ATL",01,Liam,13.7,Active,Starting
"Allen, J.",QB,BUF,"Allen, J. QB BUF",01,Liam,28.18,Active,Starting
"Armstead, R.",RB,JAX,"Armstead, R. RB JAX",01,Graham,0.00,Inactive,Reserve
"Cooks, B.",WR,HOU,"Cooks, B. WR HOU",01,Jake,4.0,Inactive,Bench
"Howard, J.",RB,Free Agent,"Howard, J. RB Free Agent",01,Liam,6.7,Inactive,Bench
"Michel, S.",RB,NE,"Michel, S. RB NE",01,Liam,9.7,Inactive,Bench
"Myers, J.",K,SEA,"Myers, J. K SEA",01,Jake,9.0,Active,Starting
"Watkins, S.",WR,KC,"Watkins, S. WR KC",01,Matt,21.5,Inactive,Bench
"Edelman, J.",WR,NE,"Edelman, J. WR NE",01,Matt,13.0,Inactive,Bench
Colts DEF ,DEF,Colts,Colts DEF ,01,Matt,4.0,Active,Starting
"Lutz, W.",K,NO,"Lutz, W. K NO",01,Matt,10.0,Active,Starting
"Chubb, N.",RB,CLE,"Chubb, N. RB CLE",01,Matt,5.6,Active,Starting
"Kittle, G.",TE,SF,"Kittle, G. TE SF",01,Matt,9.3,Active,Starting
"Brown, M.",WR,BAL,"Brown, M. WR BAL",01,Matt,15.1,Active,Starting
"Diggs, S.",WR,BUF,"Diggs, S. WR BUF",01,Matt,16.6,Active,Starting
"Allen, K.",WR,LAC,"Allen, K. WR LAC",01,Matt,7.7,Active,Starting
"Edwards-Helaire, C.",RB,KC,"Edwards-Helaire, C. RB KC",01,Matt,19.8,Active,Starting
"Johnson, D.",RB,HOU,"Johnson, D. RB HOU",01,Matt,19.9,Active,Starting
"Hilton, T.",WR,IND,"Hilton, T. WR IND",01,Jake,9.3,Active,Starting
"Ryan, M.",QB,ATL,"Ryan, M. QB ATL",01,Matt,23.9,Active,Starting
"Swift, D.",RB,DET,"Swift, D. RB DET",01,Liam,11.3,Inactive,Bench
"Sutton, C.",WR,DEN,"Sutton, C. WR DEN",01,Liam,0.0,Inactive,Bench
"Henry, H.",TE,LAC,"Henry, H. TE LAC",01,Jake,12.3,Inactive,Bench
"McKinnon, J.",RB,SF,"McKinnon, J. RB SF",01,Matt,15.0,Inactive,Bench
"Akers, C.",RB,LA,"Akers, C. RB LA",01,Graham,5.3,Inactive,Bench
"Anderson, R.",WR,CAR,"Anderson, R. WR CAR",01,Jake,25.4,Inactive,Bench
"Elliott, E.",RB,DAL,"Elliott, E. RB DAL",01,Graham,27.7,Active,Starting
"Rodgers, A.",QB,GB,"Rodgers, A. QB GB",01,Graham,30.76,Active,Starting
"Reagor, J.",WR,PHI,"Reagor, J. WR PHI",01,Lucas,7.1,Inactive,Bench
"Dobbins, J.",RB,BAL,"Dobbins, J. RB BAL",01,Lucas,14.2,Inactive,Bench
"Cooper, A.",WR,DAL,"Cooper, A. WR DAL",01,Lucas,18.1,Active,Starting
"Goedert, D.",TE,PHI,"Goedert, D. TE PHI",01,Lucas,24.1,Inactive,Bench
"Singletary, D.",RB,BUF,"Singletary, D. RB BUF",01,Lucas,10.3,Active,Starting
"Kirk, C.",WR,ARI,"Kirk, C. WR ARI",01,Lucas,1.8,Inactive,Bench
"Gallup, M.",WR,DAL,"Gallup, M. WR DAL",01,Lucas,8.0,Active,Starting
"Mostert, R.",RB,SF,"Mostert, R. RB SF",01,Lucas,25.1,Inactive,Bench
"Brees, D.",QB,NO,"Brees, D. QB NO",01,Lucas,14.4,Inactive,Bench
49ers DEF ,DEF,49ers,49ers DEF ,01,Lucas,4.0,Active,Starting
"Andrews, M.",TE,BAL,"Andrews, M. TE BAL",01,Lucas,22.8,Active,Starting
"Brown, J.",WR,BUF,"Brown, J. WR BUF",01,Lucas,19.0,Active,Starting
"Godwin, C.",WR,TB,"Godwin, C. WR TB",01,Lucas,13.9,Active,Starting
"McCaffrey, C.",RB,CAR,"McCaffrey, C. RB CAR",01,Lucas,28.5,Active,Starting
"Conner, J.",RB,PIT,"Conner, J. RB PIT",01,Graham,3.7,Active,Starting
"Jackson, L.",QB,BAL,"Jackson, L. QB BAL",01,Lucas,27.5,Active,Starting
"Johnson, D.",WR,PIT,"Johnson, D. WR PIT",01,Graham,11.0,Inactive,Bench
"Breida, M.",RB,MIA,"Breida, M. RB MIA",01,Graham,2.2,Inactive,Bench
"Landry, J.",WR,CLE,"Landry, J. WR CLE",01,Graham,11.1,Inactive,Bench
"Thompson, C.",RB,JAX,"Thompson, C. RB JAX",01,Graham,2.6,Inactive,Bench
"Parker, D.",WR,MIA,"Parker, D. WR MIA",01,Sam,8.7,Active,Starting
Eagles DEF ,DEF,Eagles,Eagles DEF ,01,Graham,3.0,Active,Starting
"Boswell, C.",K,PIT,"Boswell, C. K PIT",01,Graham,8.0,Active,Starting
"Hardman, M.",WR,KC,"Hardman, M. WR KC",01,Jake,3.6,Inactive,Bench
"Jackson, D.",WR,PHI,"Jackson, D. WR PHI",01,Graham,6.6,Active,Starting
"Hurst, H.",TE,ATL,"Hurst, H. TE ATL",01,Graham,6.8,Active,Starting
"Sanders, M.",RB,PHI,"Sanders, M. RB PHI",01,Jake,0.0,Inactive,Bench
"Ridley, C.",WR,ATL,"Ridley, C. WR ATL",01,Graham,33.9,Active,Starting
"Burrow, J.",QB,CIN,"Burrow, J. QB CIN",01,Jake,16.32,Inactive,Bench
"Hill, T.",WR,KC,"Hill, T. WR KC",01,Graham,15.6,Active,Starting
"Thielen, A.",WR,MIN,"Thielen, A. WR MIN",01,Graham,31.0,Active,Starting
"Moss, Z.",RB,BUF,"Moss, Z. RB BUF",01,Graham,11.7,Inactive,Bench
"White, J.",RB,NE,"White, J. RB NE",01,Matt,8.2,Inactive,Bench
"Tucker, J.",K,BAL,"Tucker, J. K BAL",01,Lucas,9.0,Active,Starting
"Smith, J.",TE,TEN,"Smith, J. TE TEN",01,Matt,13.6,Inactive,Bench
"Slayton, D.",WR,NYG,"Slayton, D. WR NYG",01,Nolan,28.2,Inactive,Bench
"Fournette, L.",RB,TB,"Fournette, L. RB TB",01,Nolan,2.9,Inactive,Bench
"Evans, M.",WR,TB,"Evans, M. WR TB",01,Nolan,7.2,Inactive,Bench
"Bernard, G.",RB,CIN,"Bernard, G. RB CIN",01,Nolan,6.8,Inactive,Bench
"Brady, T.",QB,TB,"Brady, T. QB TB",01,Nolan,20.46,Inactive,Bench
Ravens DEF ,DEF,Ravens,Ravens DEF ,01,Nolan,15.0,Active,Starting
"Zuerlein, G.",K,DAL,"Zuerlein, G. K DAL",01,Nolan,5.0,Active,Starting
"Drake, K.",RB,ARI,"Drake, K. RB ARI",01,Nolan,14.5,Active,Starting
"Gronkowski, R.",TE,TB,"Gronkowski, R. TE TB",01,Nolan,3.1,Active,Starting
"Higbee, T.",TE,LA,"Higbee, T. TE LA",01,Jake,7.0,Active,Starting
"Hunt, K.",RB,CLE,"Hunt, K. RB CLE",01,Jake,12.1,Active,Starting
"Chark, D.",WR,JAX,"Chark, D. WR JAX",01,Nolan,11.5,Active,Starting
"Fuller, W.",WR,HOU,"Fuller, W. WR HOU",01,Nolan,19.2,Active,Starting
"Jones, A.",RB,GB,"Jones, A. RB GB",01,Jake,17.6,Active,Starting
"Jacobs, J.",RB,LV,"Jacobs, J. RB LV",01,Nolan,35.9,Active,Starting
"Edwards, B.",WR,LV,"Edwards, B. WR LV",01,Nolan,1.9,Inactive,Bench
"Wentz, C.",QB,PHI,"Wentz, C. QB PHI",01,Jess,13.0,Active,Starting
"Ingram, M.",RB,BAL,"Ingram, M. RB BAL",01,Jess,2.9,Active,Starting
"Henry, D.",RB,TEN,"Henry, D. RB TEN",01,Jess,16.1,Active,Starting
"Cook, D.",RB,MIN,"Cook, D. RB MIN",01,Sam,21.8,Active,Starting
"Mixon, J.",RB,CIN,"Mixon, J. RB CIN",01,Sam,6.1,Active,Starting
"Murray, K.",QB,ARI,"Murray, K. QB ARI",01,Sam,26.3,Active,Starting
"Pollard, T.",RB,DAL,"Pollard, T. RB DAL",01,Jess,10.0,Inactive,Bench
"Montgomery, D.",RB,CHI,"Montgomery, D. RB CHI",01,Jess,8.4,Inactive,Bench
"Hooper, A.",TE,CLE,"Hooper, A. TE CLE",01,Jess,3.5,Inactive,Bench
"Shepard, S.",WR,NYG,"Shepard, S. WR NYG",01,Jess,10.7,Inactive,Bench
"Carson, C.",RB,SEA,"Carson, C. RB SEA",01,Nolan,24.6,Active,Starting
"Coleman, T.",RB,SF,"Coleman, T. RB SF",01,Jess,3.4,Inactive,Bench
Chiefs DEF ,DEF,Chiefs,Chiefs DEF ,01,Jess,7.0,Active,Starting
"Butker, H.",K,KC,"Butker, H. K KC",01,Jess,10.0,Active,Starting
"Gordon, M.",RB,DEN,"Gordon, M. RB DEN",01,Jess,15.6,Active,Starting
"Cook, J.",TE,NO,"Cook, J. TE NO",01,Jess,13.0,Active,Starting
"Moore, D.",WR,CAR,"Moore, D. WR CAR",01,Jess,9.4,Active,Starting
"Smith-Schuster, J.",WR,PIT,"Smith-Schuster, J. WR PIT",01,Jess,24.9,Active,Starting
"Jones, J.",WR,ATL,"Jones, J. WR ATL",01,Jess,24.7,Active,Starting
"Jones, M.",WR,DET,"Jones, M. WR DET",01,Jess,9.5,Inactive,Bench
"Wilson, R.",QB,SEA,"Wilson, R. QB SEA",01,Nolan,31.78,Active,Starting
"Metcalf, D.",WR,SEA,"Metcalf, D. WR SEA",01,Nolan,19.5,Active,Starting
"Jefferson, J.",WR,MIN,"Jefferson, J. WR MIN",01,Kevin,4.6,Inactive,Bench
"Miller, A.",WR,CHI,"Miller, A. WR CHI",01,Matt,17.6,Inactive,Bench
"Mahomes, P.",QB,KC,"Mahomes, P. QB KC",01,Kevin,20.44,Active,Starting
"Kamara, A.",RB,NO,"Kamara, A. RB NO",01,Kevin,23.7,Active,Starting
"Jones, R.",RB,TB,"Jones, R. RB TB",01,Kevin,10.2,Active,Starting
"Green, A.",WR,CIN,"Green, A. WR CIN",01,Kevin,10.1,Active,Starting
"Hopkins, D.",WR,ARI,"Hopkins, D. WR ARI",01,Kevin,29.1,Active,Starting
"Beckham, O.",WR,CLE,"Beckham, O. WR CLE",01,Kevin,5.2,Active,Starting
"Waller, D.",TE,LV,"Waller, D. TE LV",01,Kevin,10.5,Active,Starting
"Lamb, C.",WR,DAL,"Lamb, C. WR DAL",01,Kevin,12.9,Active,Starting
"Brown, A.",WR,TEN,"Brown, A. WR TEN",01,Jake,8.9,Active,Starting
Vikings DEF ,DEF,Vikings,Vikings DEF ,01,Kevin,-4.0,Active,Starting
"Johnson, K.",RB,DET,"Johnson, K. RB DET",01,Kevin,1.4,Inactive,Bench
"Gesicki, M.",TE,MIA,"Gesicki, M. TE MIA",01,Kevin,6.0,Inactive,Bench
"Jeudy, J.",WR,DEN,"Jeudy, J. WR DEN",01,Kevin,9.6,Inactive,Bench
"Elliott, J.",K,PHI,"Elliott, J. K PHI",01,Kevin,5.0,Active,Starting
"Taylor, J.",RB,IND,"Taylor, J. RB IND",01,Kevin,14.9,Inactive,Bench
"Thomas, M.",WR,NO,"Thomas, M. WR NO",01,Jake,4.7,Active,Starting
"Pittman, M.",WR,IND,"Pittman, M. WR IND",01,Kevin,3.0,Inactive,Bench
"Lockett, T.",WR,SEA,"Lockett, T. WR SEA",01,Jake,17.2,Active,Starting
"Sims, S.",WR,WAS,"Sims, S. WR WAS",02,Liam,12.1,Inactive,Bench
"Murray, L.",RB,NO,"Murray, L. RB NO",02,Graham,5.3,Inactive,Bench
"Johnson, D.",RB,HOU,"Johnson, D. RB HOU",02,Matt,7.0,Inactive,Bench
"Kittle, G.",TE,SF,"Kittle, G. TE SF",02,Matt,0.0,Inactive,Bench
"Conner, J.",RB,PIT,"Conner, J. RB PIT",02,Graham,20.1,Inactive,Bench
"Edmonds, C.",RB,ARI,"Edmonds, C. RB ARI",02,Graham,4.3,Inactive,Bench
Eagles DEF ,DEF,Eagles,Eagles DEF ,02,FA,,FA,FA
"Valdes-Scantling, M.",WR,GB,"Valdes-Scantling, M. WR GB",02,Graham,9.4,Inactive,Bench
"Johnson, D.",WR,PIT,"Johnson, D. WR PIT",02,Graham,28.1,Inactive,Bench
"Akers, C.",RB,LA,"Akers, C. RB LA",02,Graham,1.3,Inactive,Bench
"Kelley, J.",RB,LAC,"Kelley, J. RB LAC",02,Liam,13.3,Inactive,Bench
"Ryan, M.",QB,ATL,"Ryan, M. QB ATL",02,Matt,28.52,Active,Starting
"Edwards-Helaire, C.",RB,KC,"Edwards-Helaire, C. RB KC",02,Matt,13.0,Active,Starting
"Taylor, J.",RB,IND,"Taylor, J. RB IND",02,Kevin,19.0,Active,Starting
"Armstead, R.",RB,JAX,"Armstead, R. RB JAX",02,Graham,0.00,Inactive,Reserve
"Bullock, R.",K,CIN,"Bullock, R. K CIN",02,FA,,FA,FA
"White, J.",RB,NE,"White, J. RB NE",02,Matt,0.0,Inactive,Bench
"Lutz, W.",K,NO,"Lutz, W. K NO",02,Matt,6.0,Active,Starting
Buccaneers DEF ,DEF,Buccaneers,Buccaneers DEF ,02,Matt,14.0,Active,Starting
"Boswell, C.",K,PIT,"Boswell, C. K PIT",02,Graham,6.0,Active,Starting
"Ridley, C.",WR,ATL,"Ridley, C. WR ATL",02,Graham,29.9,Active,Starting
"Hurst, H.",TE,ATL,"Hurst, H. TE ATL",02,Graham,18.2,Active,Starting
"Allen, K.",WR,LAC,"Allen, K. WR LAC",02,Matt,16.6,Inactive,Bench
"Mixon, J.",RB,CIN,"Mixon, J. RB CIN",02,Matt,12.6,Active,Starting
"Hill, T.",WR,KC,"Hill, T. WR KC",02,Graham,21.8,Active,Starting
"McKinnon, J.",RB,SF,"McKinnon, J. RB SF",02,Matt,20.8,Inactive,Bench
"Booker, D.",RB,LV,"Booker, D. RB LV",02,FA,,FA,FA
"Kamara, A.",RB,NO,"Kamara, A. RB NO",02,Kevin,38.4,Active,Starting
Rams DEF ,DEF,Rams,Rams DEF ,02,Graham,7.0,Active,Starting
"Green, A.",WR,CIN,"Green, A. WR CIN",02,Kevin,5.9,Active,Starting
"Swift, D.",RB,DET,"Swift, D. RB DET",02,Liam,12.2,Inactive,Bench
"Chubb, N.",RB,CLE,"Chubb, N. RB CLE",02,Matt,26.3,Active,Starting
"Sutton, C.",WR,DEN,"Sutton, C. WR DEN",02,Liam,9.6,Inactive,Bench
"Cohen, T.",RB,CHI,"Cohen, T. RB CHI",02,Liam,3.7,Inactive,Bench
"Brown, M.",RB,LA,"Brown, M. RB LA",02,Liam,4.7,Inactive,Bench
"Akins, J.",TE,HOU,"Akins, J. TE HOU",02,FA,,FA,FA
"Mahomes, P.",QB,KC,"Mahomes, P. QB KC",02,Kevin,27.48,Active,Starting
Bills DEF ,DEF,Bills,Bills DEF ,02,Liam,2.0,Active,Starting
"Edelman, J.",WR,NE,"Edelman, J. WR NE",02,Matt,25.9,Active,Starting
"Koo, Y.",K,ATL,"Koo, Y. K ATL",02,Liam,17.0,Active,Starting
"Sanders, E.",WR,NO,"Sanders, E. WR NO",02,Liam,2.8,Active,Starting
"Ertz, Z.",TE,PHI,"Ertz, Z. TE PHI",02,Liam,9.2,Active,Starting
"Beckham, O.",WR,CLE,"Beckham, O. WR CLE",02,Kevin,17.4,Active,Starting
"Campbell, P.",WR,IND,"Campbell, P. WR IND",02,Liam,0.7,Active,Starting
